"","faretype","cashlove","purpose","income","vehicle","number_of_trips"
"114","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",4
"115","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",1
"116","ORCA e-purse","0","Home Based Work Trip","medium_high","1",20
"117","ORCA e-purse","0","Home Based Work Trip","lowest","1",30
"118","ORCA e-purse","0","Non-home based trip","lowest","1",20
"119","ORCA, as pass","0","Home Based Non-Work Trip","lowest","1",30
"120","ORCA, as pass","0","Home Based Work Trip","lowest","1",60
"121","ORCA, as pass","0","Home Based Work Trip","lowest","0",20
"122","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",40
"123","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",40
"124","ORCA e-purse","0","Home Based Work Trip","lowest","0",30
"125","ORCA e-purse","0","Home Based Non-Work Trip","lowest","0",10
"126","U-PASS ORCA","0","Home Based Non-Work Trip","medium_low","1",20
"127","ORCA, as pass","0","Home Based Work Trip","lowest","0",25
"128","ORCA, as pass","0","Home Based Work Trip","medium_low","1",15
"129","ORCA, as pass","0","Home Based Work Trip","highest","1",40
"130","ORCA, as pass","0","Home Based Work Trip","medium_high","1",40
"131","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",44
"132","ORCA, as pass","0","Home Based Work Trip","medium_high","1",15
"133","ORCA e-purse","0","Home Based Work Trip","medium_low","1",20
"134","U-PASS ORCA","0","Home Based Work Trip","medium_low","1",50
"135","ORCA, as pass","0","Home Based Work Trip","highest","1",60
"136","ORCA, as pass","0","Non-home based trip","medium_low","1",13
"137","ORCA, as pass","0","Home Based Work Trip","lowest","1",100
"138","U-PASS ORCA","0","Home Based Non-Work Trip","medium_high","1",12
"139","U-PASS ORCA","0","Home Based Non-Work Trip","lowest","1",60
"140","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","0",30
"141","U-PASS ORCA","0","Home Based Work Trip","medium_low","1",12
"142","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","0",15
"143","U-PASS ORCA","0","Home Based Non-Work Trip","medium_high","1",40
"144","ORCA e-purse","0","Home Based Work Trip","lowest","0",50
"145","ORCA, as pass","0","Home Based Work Trip","lowest","0",30
"146","U-PASS ORCA","0","Home Based Work Trip","medium_low","1",30
"147","U-PASS ORCA","0","Home Based Work Trip","highest","1",50
"148","U-PASS ORCA","0","Home Based Non-Work Trip","highest","1",40
"149","ORCA, as pass","0","Home Based Work Trip","highest","1",52
"150","U-PASS ORCA","0","Home Based Non-Work Trip","highest","1",7
"151","U-PASS ORCA","0","Home Based Work Trip","lowest","1",30
"152","ORCA, as pass","0","Non-home based trip","highest","1",10
"153","ORCA e-purse","0","Home Based Work Trip","medium_low","1",60
"154","ORCA, as pass","0","Home Based Non-Work Trip","lowest","1",0
"155","ORCA, as pass","0","Home Based Work Trip","medium_low","1",20
"156","ORCA, as pass","0","Home Based Work Trip","medium_low","1",25
"157","ORCA day pass","0","Home Based Non-Work Trip","medium_low","0",25
"158","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",20
"159","ORCA e-purse","0","Home Based Work Trip","lowest","0",50
"160","ORCA e-purse","0","Home Based Work Trip","lowest","0",65
"161","ORCA, as pass","0","Non-home based trip","highest","1",60
"162","ORCA, as pass","0","Home Based Work Trip","highest","1",30
"163","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",10
"164","ORCA e-purse","0","Home Based Non-Work Trip","lowest","0",9
"165","U-PASS ORCA","0","Home Based Non-Work Trip","medium_low","1",30
"166","ORCA, as pass","0","Home Based Work Trip","lowest","1",50
"167","U-PASS ORCA","0","Home Based Work Trip","lowest","1",30
"168","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",18
"169","ORCA, as pass","0","Home Based Work Trip","lowest","1",20
"170","ORCA e-purse","0","Home Based Work Trip","medium_high","1",28
"171","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",30
"172","ORCA day pass","0","Non-home based trip","lowest","0",4
"173","ORCA, as pass","0","Home Based Work Trip","highest","1",41
"174","ORCA, as pass","0","Home Based Work Trip","highest","1",15
"175","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",60
"176","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",6
"177","ORCA, as pass","0","Home Based Work Trip","medium_low","0",4
"178","ORCA, as pass","0","Home Based Work Trip","medium_low","1",25
"179","U-PASS ORCA","0","Home Based Non-Work Trip","medium_low","1",45
"180","ORCA, as pass","0","Home Based Work Trip","highest","1",2
"181","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"182","ORCA, as pass","0","Home Based Work Trip","highest","1",2
"183","ORCA, as pass","0","Home Based Work Trip","medium_low","1",50
"184","ORCA, as pass","0","Home Based Work Trip","medium_high","1",1
"185","ORCA, as pass","0","Home Based Work Trip","highest","1",2
"186","ORCA, as pass","0","Home Based Work Trip","medium_high","1",2
"187","ORCA, as pass","0","Home Based Work Trip","medium_low","1",0
"188","ORCA e-purse","0","Home Based Non-Work Trip","lowest","1",54
"189","ORCA, as pass","0","Home Based Work Trip","lowest","0",50
"190","ORCA e-purse","0","Home Based Work Trip","lowest","0",10
"191","ORCA, as pass","0","Home Based Work Trip","lowest","1",10
"192","Train Ticket, One Way","0","Home Based Non-Work Trip","medium_low","1",25
"193","ORCA, as pass","0","Home Based Work Trip","medium_low","1",47
"194","ORCA e-purse","0","Home Based Work Trip","medium_low","1",4
"195","ORCA, as pass","0","Home Based Work Trip","medium_high","1",25
"196","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",15
"197","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",50
"198","Cash","1","Non-home based trip","highest","1",1
"199","ORCA e-purse","0","Home Based Work Trip","medium_low","1",5
"200","ORCA e-purse","0","Home Based Non-Work Trip","lowest","0",10
"201","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",3
"202","Train Ticket, One Way","0","Home Based Non-Work Trip","highest","1",32
"203","ORCA, as pass","0","Non-home based trip","medium_low","1",1
"204","ORCA, as pass","0","Non-home based trip","highest","1",35
"205","ORCA, as pass","0","Non-home based trip","medium_high","1",0
"206","ORCA, as pass","0","Home Based Work Trip","lowest","0",25
"207","Cash","1","Non-home based trip","medium_low","1",3
"208","ORCA, as pass","0","Home Based Work Trip","lowest","0",32
"209","ORCA, as pass","0","Non-home based trip","lowest","0",72
"210","Train Ticket, One Way","0","Non-home based trip","medium_low","1",2
"211","ORCA, as pass","0","Non-home based trip","lowest","1",3
"212","ORCA day pass","0","Non-home based trip","medium_low","1",0
"213","ORCA, as pass","0","Non-home based trip","medium_low","1",20
"214","ORCA e-purse","0","Home Based Work Trip","lowest","1",6
"215","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",7
"216","U-PASS ORCA","0","Home Based Non-Work Trip","lowest","1",6
"217","ORCA e-purse","0","Home Based Non-Work Trip","lowest","1",2
"218","ORCA e-purse","0","Non-home based trip","highest","1",30
"219","ORCA, as pass","0","Home Based Work Trip","medium_low","1",23
"220","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",5
"221","Cash","1","Home Based Non-Work Trip","highest","1",8
"222","ORCA, as pass","0","Home Based Work Trip","lowest","0",20
"223","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",40
"224","Train Ticket, One Way","0","Home Based Non-Work Trip","medium_high","0",2
"225","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",10
"226","ORCA e-purse","0","Non-home based trip","highest","1",16
"227","ORCA, as pass","0","Non-home based trip","highest","1",12
"228","U-PASS ORCA","0","Non-home based trip","medium_low","1",30
"229","ORCA, as pass","0","Non-home based trip","medium_low","1",20
"230","ORCA e-purse","0","Non-home based trip","medium_low","1",4
"231","ORCA, as pass","0","Non-home based trip","highest","1",56
"232","Train Ticket, One Way","0","Non-home based trip","highest","1",0
"233","ORCA, as pass","0","Home Based Work Trip","medium_low","0",30
"234","ORCA, as pass","0","Home Based Work Trip","lowest","1",40
"235","ORCA, as pass","0","Home Based Work Trip","medium_high","1",66
"236","ORCA, as pass","0","Home Based Work Trip","medium_low","1",20
"237","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",30
"238","ORCA e-purse","0","Non-home based trip","medium_low","1",16
"239","ORCA, as pass","0","Home Based Work Trip","medium_low","1",1
"240","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"241","U-PASS ORCA","0","Non-home based trip","highest","1",20
"242","ORCA e-purse","0","Home Based Work Trip","medium_low","1",40
"243","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"244","Train Ticket, One Way","0","Non-home based trip","medium_low","1",0
"245","ORCA, as pass","0","Home Based Work Trip","medium_low","1",10
"246","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","0",60
"247","ORCA, as pass","0","Home Based Work Trip","lowest","1",10
"248","ORCA e-purse","0","Home Based Work Trip","lowest","1",40
"249","ORCA, as pass","0","Non-home based trip","medium_high","1",60
"250","ORCA, as pass","0","Home Based Work Trip","medium_high","1",15
"251","ORCA, as pass","0","Home Based Work Trip","medium_high","1",58
"252","ORCA, as pass","0","Home Based Work Trip","medium_low","0",70
"253","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"254","ORCA, as pass","0","Non-home based trip","medium_low","1",15
"255","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",35
"256","ORCA, as pass","0","Home Based Work Trip","medium_low","1",32
"257","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",2
"258","ORCA, as pass","0","Non-home based trip","highest","1",2
"259","U-PASS ORCA","0","Home Based Work Trip","highest","1",50
"260","ORCA e-purse","0","Home Based Non-Work Trip","medium_high","1",12
"261","ORCA, as pass","0","Home Based Work Trip","medium_high","1",40
"262","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",1
"263","ORCA e-purse","0","Home Based Non-Work Trip","medium_low","1",14
"264","ORCA e-purse","0","Home Based Non-Work Trip","medium_high","0",60
"265","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"266","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",46
"267","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",0
"268","ORCA e-purse","0","Home Based Non-Work Trip","lowest","1",15
"269","ORCA, as pass","0","Home Based Work Trip","medium_high","1",4
"270","ORCA, as pass","0","Home Based Work Trip","medium_low","1",3
"271","U-PASS ORCA","0","Non-home based trip","medium_low","1",60
"272","ORCA, as pass","0","Home Based Work Trip","highest","1",12
"273","Train Ticket, Day Pass","0","Home Based Work Trip","lowest","0",0
"274","ORCA, as pass","0","Non-home based trip","medium_high","1",25
"275","ORCA, as pass","0","Home Based Work Trip","highest","1",15
"276","ORCA e-purse","0","Home Based Work Trip","medium_high","1",20
"277","ORCA e-purse","0","Home Based Work Trip","highest","1",32
"278","ORCA, as pass","0","Home Based Work Trip","highest","1",92
"279","ORCA, as pass","0","Home Based Work Trip","highest","1",20
"280","ORCA, as pass","0","Home Based Work Trip","medium_low","0",40
"281","U-PASS ORCA","0","Home Based Work Trip","highest","1",45
"282","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",25
"283","ORCA, as pass","0","Home Based Work Trip","medium_low","1",10
"284","ORCA, as pass","0","Home Based Work Trip","medium_low","1",10
"285","Cash","1","Home Based Non-Work Trip","medium_high","1",0
"286","ORCA e-purse","0","Home Based Work Trip","medium_low","1",20
"287","ORCA e-purse","0","Home Based Work Trip","medium_high","1",12
"288","Cash","1","Home Based Work Trip","medium_low","1",5
"289","ORCA, as pass","0","Home Based Work Trip","highest","1",3
"290","ORCA e-purse","0","Home Based Work Trip","highest","1",12
"291","ORCA, as pass","0","Home Based Work Trip","medium_low","1",10
"292","ORCA, as pass","0","Home Based Work Trip","highest","1",0
"293","ORCA, as pass","0","Home Based Work Trip","highest","1",26
"294","ORCA, as pass","0","Home Based Work Trip","lowest","1",12
"295","ORCA, as pass","0","Non-home based trip","medium_low","1",20
"296","ORCA e-purse","0","Home Based Work Trip","medium_low","1",90
"297","U-PASS ORCA","0","Home Based Non-Work Trip","medium_low","1",12
"298","ORCA, as pass","0","Home Based Work Trip","highest","1",90
"299","ORCA, as pass","0","Home Based Work Trip","highest","1",4
"300","ORCA e-purse","0","Home Based Work Trip","medium_low","1",6
"301","U-PASS ORCA","0","Home Based Non-Work Trip","highest","1",30
"302","ORCA e-purse","0","Home Based Work Trip","lowest","1",10
"303","Train Ticket, One Way","0","Home Based Non-Work Trip","highest","1",2
"304","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",0
"305","Train Ticket, One Way","0","Home Based Non-Work Trip","medium_low","1",0
"306","ORCA e-purse","0","Home Based Work Trip","medium_low","0",32
"307","ORCA, as pass","0","Home Based Work Trip","lowest","0",10
"308","Train Ticket, Day Pass","0","Non-home based trip","medium_high","0",3
"309","Train Ticket, Day Pass","0","Non-home based trip","highest","1",1
"310","U-PASS ORCA","0","Home Based Non-Work Trip","lowest","1",2
"311","ORCA e-purse","0","Non-home based trip","medium_high","1",0
"312","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",20
"313","Cash","1","Non-home based trip","medium_low","1",60
"314","ORCA, as pass","0","Home Based Work Trip","lowest","0",30
"315","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",8
"316","U-PASS ORCA","0","Home Based Work Trip","lowest","1",60
"317","ORCA, as pass","0","Home Based Work Trip","medium_low","0",40
"318","ORCA, as pass","0","Home Based Work Trip","highest","1",8
"319","ORCA, as pass","0","Home Based Non-Work Trip","highest","0",30
"320","ORCA, as pass","0","Non-home based trip","medium_low","1",15
"321","ORCA e-purse","0","Non-home based trip","medium_low","1",44
"322","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","0",7
"323","ORCA, as pass","0","Non-home based trip","highest","1",45
"324","ORCA e-purse","0","Home Based Non-Work Trip","medium_high","0",20
"325","ORCA, as pass","0","Non-home based trip","medium_low","1",0
"326","ORCA, as pass","0","Non-home based trip","lowest","0",15
"327","Cash","1","Non-home based trip","lowest","1",0
"328","ORCA, as pass","0","Non-home based trip","lowest","1",30
"329","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",50
"330","ORCA, as pass","0","Non-home based trip","medium_low","1",60
"331","ORCA, as pass","0","Non-home based trip","highest","1",40
"332","Cash","1","Non-home based trip","medium_high","1",0
"333","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",3
"334","Train Ticket, One Way","0","Non-home based trip","lowest","1",0
"335","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",35
"336","ORCA, as pass","0","Non-home based trip","highest","1",0
"337","ORCA, as pass","0","Home Based Work Trip","medium_low","1",6
"338","U-PASS ORCA","0","Home Based Non-Work Trip","medium_high","1",4
"339","ORCA, as pass","0","Home Based Non-Work Trip","highest","0",5
"340","ORCA day pass","0","Home Based Non-Work Trip","medium_low","0",65
"341","ORCA, as pass","0","Home Based Work Trip","medium_low","0",25
"342","ORCA day pass","0","Home Based Work Trip","lowest","0",0
"343","ORCA e-purse","0","Home Based Non-Work Trip","lowest","1",20
"344","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",2
"345","ORCA, as pass","0","Home Based Work Trip","medium_low","1",60
"346","ORCA e-purse","0","Home Based Work Trip","medium_low","1",18
"347","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",48
"348","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",3
"349","ORCA, as pass","0","Home Based Work Trip","medium_low","1",3
"350","Train Ticket, One Way","0","Non-home based trip","highest","1",1
"351","ORCA, as pass","0","Home Based Work Trip","lowest","1",32
"352","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",10
"353","Cash","1","Home Based Non-Work Trip","highest","1",0
"354","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","0",55
"355","ORCA e-purse","0","Non-home based trip","medium_high","1",5
"356","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",60
"357","ORCA, as pass","0","Non-home based trip","highest","1",40
"358","ORCA, as pass","0","Home Based Work Trip","medium_low","1",5
"359","ORCA, as pass","0","Non-home based trip","highest","1",40
"360","ORCA e-purse","0","Home Based Work Trip","lowest","1",23
"361","Train Ticket, One Way","0","Home Based Non-Work Trip","medium_low","1",2
"362","ORCA, as pass","0","Home Based Work Trip","highest","1",1
"363","ORCA e-purse","0","Non-home based trip","highest","1",18
"364","U-PASS ORCA","0","Home Based Work Trip","medium_low","1",50
"365","ORCA, as pass","0","Home Based Work Trip","lowest","1",10
"366","ORCA e-purse","0","Non-home based trip","medium_low","1",3
"367","ORCA e-purse","0","Home Based Work Trip","highest","1",25
"368","ORCA, as pass","0","Non-home based trip","highest","1",0
"369","ORCA, as pass","0","Home Based Work Trip","medium_low","1",20
"370","ORCA, as pass","0","Home Based Work Trip","medium_low","1",10
"371","ORCA, as pass","0","Home Based Work Trip","highest","1",4
"372","ORCA, as pass","0","Home Based Work Trip","lowest","0",8
"373","ORCA, as pass","0","Home Based Work Trip","medium_high","0",30
"374","Other","0","Home Based Non-Work Trip","highest","1",6
"375","Cash","1","Home Based Non-Work Trip","medium_high","1",1
"376","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",30
"377","ORCA e-purse","0","Non-home based trip","highest","1",15
"378","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",4
"379","ORCA e-purse","0","Home Based Non-Work Trip","lowest","1",11
"380","Cash","1","Non-home based trip","highest","1",3
"381","ORCA e-purse","0","Home Based Non-Work Trip","medium_low","0",60
"382","ORCA day pass","0","Home Based Work Trip","highest","1",13
"383","ORCA, as pass","0","Home Based Work Trip","highest","1",8
"384","ORCA, as pass","0","Home Based Work Trip","highest","1",4
"385","ORCA, as pass","0","Home Based Work Trip","highest","1",6
"386","ORCA, as pass","0","Home Based Non-Work Trip","lowest","0",0
"387","ORCA e-purse","0","Home Based Work Trip","highest","1",8
"388","ORCA, as pass","0","Home Based Work Trip","lowest","1",60
"389","ORCA e-purse","0","Home Based Work Trip","medium_low","1",60
"390","Train Ticket, One Way","0","Non-home based trip","highest","1",0
"391","U-PASS ORCA","0","Home Based Work Trip","highest","1",5
"392","ORCA e-purse","0","Home Based Work Trip","highest","1",10
"393","ORCA e-purse","0","Home Based Work Trip","highest","1",40
"394","ORCA e-purse","0","Non-home based trip","highest","1",24
"395","ORCA, as pass","0","Home Based Non-Work Trip","medium_low","1",50
"396","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",6
"397","Other","0","Non-home based trip","medium_low","1",0
"398","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",10
"399","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",30
"400","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",40
"401","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",18
"402","Train Ticket, One Way","0","Non-home based trip","medium_high","1",0
"403","Train Ticket, One Way","0","Non-home based trip","lowest","0",0
"404","U-PASS ORCA","0","Home Based Non-Work Trip","highest","1",25
"405","ORCA e-purse","0","Home Based Non-Work Trip","medium_low","1",10
"406","ORCA e-purse","0","Home Based Non-Work Trip","highest","1",10
"407","U-PASS ORCA","0","Home Based Work Trip","highest","1",20
"408","ORCA, as pass","0","Home Based Work Trip","highest","1",10
"409","ORCA, as pass","0","Home Based Work Trip","lowest","1",16
"410","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",15
"411","ORCA e-purse","0","Home Based Work Trip","lowest","1",25
"412","ORCA, as pass","0","Home Based Work Trip","highest","1",40
"413","ORCA, as pass","0","Home Based Non-Work Trip","medium_high","1",2
"414","Train Ticket, One Way","0","Non-home based trip","highest","1",6
"415","Train Ticket, One Way","0","Non-home based trip","highest","1",6
"416","ORCA, as pass","0","Home Based Work Trip","highest","1",15
"417","ORCA, as pass","0","Home Based Work Trip","medium_low","1",10
"418","ORCA, as pass","0","Home Based Work Trip","lowest","1",20
"419","ORCA e-purse","0","Home Based Work Trip","highest","1",4
"420","ORCA, as pass","0","Home Based Non-Work Trip","highest","1",5
"421","ORCA e-purse","0","Non-home based trip","medium_low","1",20
"422","ORCA, as pass","0","Home Based Work Trip","highest","1",30
"423","ORCA, as pass","0","Home Based Work Trip","medium_low","1",20
"424","ORCA, as pass","0","Home Based Work Trip","medium_high","1",2
